draft_year,prospect_id,player_name,position,school,as_of_date,source,draft_capital_score,age_trajectory_score,production_score,efficiency_score,target_earning_score,rushing_profile_score,receiving_role_score,athleticism_score,lve_position_fit_score,confidence_score,source_notes
2022,breece_hall_2022,Breece Hall,RB,Iowa State,2022-04-30,manual_predraft_fixture,91,88,94,88,50,50,82,91,90,82,Post NFL Draft rookie profile fixture; no NFL production used.
2022,garrett_wilson_2022,Garrett Wilson,WR,Ohio State,2022-04-30,manual_predraft_fixture,90,86,88,89,87,50,50,87,92,82,Post NFL Draft rookie profile fixture; no NFL production used.
2022,drake_london_2022,Drake London,WR,USC,2022-04-30,manual_predraft_fixture,92,84,91,86,92,50,50,72,92,81,Post NFL Draft rookie profile fixture; no NFL production used.
2022,kenneth_walker_2022,Kenneth Walker,RB,Michigan State,2022-04-30,manual_predraft_fixture,81,82,93,87,45,50,42,84,84,78,Post NFL Draft rookie profile fixture; no NFL production used.
2022,chris_olave_2022,Chris Olave,WR,Ohio State,2022-04-30,manual_predraft_fixture,88,77,82,84,78,50,50,86,90,79,Post NFL Draft rookie profile fixture; no NFL production used.
2022,jameson_williams_2022,Jameson Williams,WR,Alabama,2022-04-30,manual_predraft_fixture,87,80,80,89,75,50,50,91,89,72,Post NFL Draft rookie profile fixture; no NFL production used.
2022,treylon_burks_2022,Treylon Burks,WR,Arkansas,2022-04-30,manual_predraft_fixture,86,78,86,81,84,50,50,69,88,77,Post NFL Draft rookie profile fixture; no NFL production used.
2022,george_pickens_2022,George Pickens,WR,Georgia,2022-04-30,manual_predraft_fixture,77,83,66,78,70,50,50,86,85,70,Post NFL Draft rookie profile fixture; no NFL production used.
2022,christian_watson_2022,Christian Watson,WR,North Dakota State,2022-04-30,manual_predraft_fixture,78,75,77,80,72,50,50,96,84,67,Post NFL Draft rookie profile fixture; no NFL production used.
2022,jahan_dotson_2022,Jahan Dotson,WR,Penn State,2022-04-30,manual_predraft_fixture,86,74,81,78,80,50,50,75,86,75,Post NFL Draft rookie profile fixture; no NFL production used.
2022,skyy_moore_2022,Skyy Moore,WR,Western Michigan,2022-04-30,manual_predraft_fixture,74,79,82,77,83,50,50,78,82,69,Post NFL Draft rookie profile fixture; no NFL production used.
2022,rachaad_white_2022,Rachaad White,RB,Arizona State,2022-04-30,manual_predraft_fixture,63,76,79,76,50,50,88,76,80,69,Post NFL Draft rookie profile fixture; no NFL production used.
2022,dameon_pierce_2022,Dameon Pierce,RB,Florida,2022-04-30,manual_predraft_fixture,57,72,64,76,50,50,62,79,78,62,Post NFL Draft rookie profile fixture; no NFL production used.
2022,brian_robinson_2022,Brian Robinson,RB,Alabama,2022-04-30,manual_predraft_fixture,69,65,74,70,50,50,53,67,78,68,Post NFL Draft rookie profile fixture; no NFL production used.
2022,tyler_allgeier_2022,Tyler Allgeier,RB,BYU,2022-04-30,manual_predraft_fixture,54,72,82,75,50,50,49,66,76,61,Post NFL Draft rookie profile fixture; no NFL production used.
2022,isaiah_spiller_2022,Isaiah Spiller,RB,Texas A&M,2022-04-30,manual_predraft_fixture,47,74,80,68,50,50,61,55,72,58,Post NFL Draft rookie profile fixture; no NFL production used.
2022,trey_mcbride_2022,Trey McBride,TE,Colorado State,2022-04-30,manual_predraft_fixture,72,76,84,82,79,50,84,70,60,70,Post NFL Draft rookie profile fixture; no NFL production used.
2022,kenny_pickett_2022,Kenny Pickett,QB,Pittsburgh,2022-04-30,manual_predraft_fixture,86,55,78,76,50,48,50,62,35,72,Post NFL Draft rookie profile fixture; no NFL production used.
2022,malik_willis_2022,Malik Willis,QB,Liberty,2022-04-30,manual_predraft_fixture,54,71,66,62,50,94,50,90,45,62,Post NFL Draft rookie profile fixture; no NFL production used.
2022,desmond_ridder_2022,Desmond Ridder,QB,Cincinnati,2022-04-30,manual_predraft_fixture,57,66,73,70,50,72,50,76,38,64,Post NFL Draft rookie profile fixture; no NFL production used.
2023,bijan_robinson_2023,Bijan Robinson,RB,Texas,2023-04-29,manual_predraft_fixture,96,88,96,92,50,50,86,94,92,85,Post NFL Draft rookie profile fixture; no NFL production used.
2023,jahmyr_gibbs_2023,Jahmyr Gibbs,RB,Alabama,2023-04-29,manual_predraft_fixture,94,87,88,88,50,50,94,93,91,84,Post NFL Draft rookie profile fixture; no NFL production used.
2023,jaxon_smith_njigba_2023,Jaxon Smith-Njigba,WR,Ohio State,2023-04-29,manual_predraft_fixture,88,88,86,91,91,50,50,76,93,79,Post NFL Draft rookie profile fixture; no NFL production used.
2023,zay_flowers_2023,Zay Flowers,WR,Boston College,2023-04-29,manual_predraft_fixture,87,78,88,84,87,50,50,84,90,78,Post NFL Draft rookie profile fixture; no NFL production used.
2023,jordan_addison_2023,Jordan Addison,WR,USC,2023-04-29,manual_predraft_fixture,86,83,88,83,88,50,50,72,89,79,Post NFL Draft rookie profile fixture; no NFL production used.
2023,anthony_richardson_2023,Anthony Richardson,QB,Florida,2023-04-29,manual_predraft_fixture,93,82,72,75,50,98,50,99,45,75,Post NFL Draft rookie profile fixture; no NFL production used.
2023,cj_stroud_2023,C.J. Stroud,QB,Ohio State,2023-04-29,manual_predraft_fixture,97,81,91,91,50,44,50,70,37,82,Post NFL Draft rookie profile fixture; no NFL production used.
2023,bryce_young_2023,Bryce Young,QB,Alabama,2023-04-29,manual_predraft_fixture,98,79,90,90,50,63,50,68,38,82,Post NFL Draft rookie profile fixture; no NFL production used.
2023,devon_achane_2023,De'Von Achane,RB,Texas A&M,2023-04-29,manual_predraft_fixture,68,82,82,83,50,50,79,96,84,72,Post NFL Draft rookie profile fixture; no NFL production used.
2023,zach_charbonnet_2023,Zach Charbonnet,RB,UCLA,2023-04-29,manual_predraft_fixture,76,73,87,82,50,50,82,74,83,75,Post NFL Draft rookie profile fixture; no NFL production used.
2023,quentin_johnston_2023,Quentin Johnston,WR,TCU,2023-04-29,manual_predraft_fixture,85,78,82,78,78,50,50,83,88,74,Post NFL Draft rookie profile fixture; no NFL production used.
2023,rashee_rice_2023,Rashee Rice,WR,SMU,2023-04-29,manual_predraft_fixture,74,76,86,82,86,50,50,78,85,72,Post NFL Draft rookie profile fixture; no NFL production used.
2023,tank_dell_2023,Tank Dell,WR,Houston,2023-04-29,manual_predraft_fixture,58,78,87,88,88,50,50,80,84,66,Post NFL Draft rookie profile fixture; no NFL production used.
2023,jayden_reed_2023,Jayden Reed,WR,Michigan State,2023-04-29,manual_predraft_fixture,70,76,77,79,75,50,50,82,82,68,Post NFL Draft rookie profile fixture; no NFL production used.
2023,dalton_kincaid_2023,Dalton Kincaid,TE,Utah,2023-04-29,manual_predraft_fixture,87,78,81,85,82,50,86,74,68,76,Post NFL Draft rookie profile fixture; no NFL production used.
2023,michael_mayer_2023,Michael Mayer,TE,Notre Dame,2023-04-29,manual_predraft_fixture,75,76,84,78,78,50,82,66,58,73,Post NFL Draft rookie profile fixture; no NFL production used.
2023,kendre_miller_2023,Kendre Miller,RB,TCU,2023-04-29,manual_predraft_fixture,64,76,82,78,50,50,46,73,77,65,Post NFL Draft rookie profile fixture; no NFL production used.
2023,jonathan_mingo_2023,Jonathan Mingo,WR,Ole Miss,2023-04-29,manual_predraft_fixture,78,72,70,68,64,50,50,79,80,64,Post NFL Draft rookie profile fixture; no NFL production used.
2023,roshon_johnson_2023,Roschon Johnson,RB,Texas,2023-04-29,manual_predraft_fixture,58,72,68,72,50,50,61,77,76,63,Post NFL Draft rookie profile fixture; no NFL production used.
2023,will_levis_2023,Will Levis,QB,Kentucky,2023-04-29,manual_predraft_fixture,73,67,66,65,50,64,50,82,36,67,Post NFL Draft rookie profile fixture; no NFL production used.
2024,marvin_harrison_jr_2024,Marvin Harrison Jr.,WR,Ohio State,2024-04-27,manual_predraft_fixture,97,86,96,93,93,50,50,88,95,85,Post NFL Draft rookie profile fixture; no NFL production used.
2024,malik_nabers_2024,Malik Nabers,WR,LSU,2024-04-27,manual_predraft_fixture,96,88,95,94,94,50,50,91,95,85,Post NFL Draft rookie profile fixture; no NFL production used.
2024,rome_odunze_2024,Rome Odunze,WR,Washington,2024-04-27,manual_predraft_fixture,94,84,94,90,91,50,50,86,94,84,Post NFL Draft rookie profile fixture; no NFL production used.
2024,brock_bowers_2024,Brock Bowers,TE,Georgia,2024-04-27,manual_predraft_fixture,91,88,96,94,93,50,95,88,72,83,Post NFL Draft rookie profile fixture; no NFL production used.
2024,jayden_daniels_2024,Jayden Daniels,QB,LSU,2024-04-27,manual_predraft_fixture,96,82,94,91,50,99,50,92,45,82,Post NFL Draft rookie profile fixture; no NFL production used.
2024,caleb_williams_2024,Caleb Williams,QB,USC,2024-04-27,manual_predraft_fixture,99,82,92,90,50,78,50,86,42,84,Post NFL Draft rookie profile fixture; no NFL production used.
2024,drake_maye_2024,Drake Maye,QB,North Carolina,2024-04-27,manual_predraft_fixture,95,83,88,87,50,78,50,85,40,81,Post NFL Draft rookie profile fixture; no NFL production used.
2024,brian_thomas_jr_2024,Brian Thomas Jr.,WR,LSU,2024-04-27,manual_predraft_fixture,90,80,86,89,83,50,50,92,92,80,Post NFL Draft rookie profile fixture; no NFL production used.
2024,ladd_mcconkey_2024,Ladd McConkey,WR,Georgia,2024-04-27,manual_predraft_fixture,79,80,82,86,82,50,50,87,88,76,Post NFL Draft rookie profile fixture; no NFL production used.
2024,xavier_worthy_2024,Xavier Worthy,WR,Texas,2024-04-27,manual_predraft_fixture,88,82,82,83,80,50,50,99,90,77,Post NFL Draft rookie profile fixture; no NFL production used.
2024,jonathon_brooks_2024,Jonathon Brooks,RB,Texas,2024-04-27,manual_predraft_fixture,76,78,82,81,50,50,73,76,84,70,Post NFL Draft rookie profile fixture; no NFL production used.
2024,trey_benson_2024,Trey Benson,RB,Florida State,2024-04-27,manual_predraft_fixture,68,77,78,77,50,50,57,88,81,68,Post NFL Draft rookie profile fixture; no NFL production used.
2024,keon_coleman_2024,Keon Coleman,WR,Florida State,2024-04-27,manual_predraft_fixture,82,78,76,72,74,50,50,70,84,70,Post NFL Draft rookie profile fixture; no NFL production used.
2024,ricky_pearsall_2024,Ricky Pearsall,WR,Florida,2024-04-27,manual_predraft_fixture,86,74,74,78,70,50,50,85,84,69,Post NFL Draft rookie profile fixture; no NFL production used.
2024,xavier_legette_2024,Xavier Legette,WR,South Carolina,2024-04-27,manual_predraft_fixture,85,62,78,76,74,50,50,86,83,67,Post NFL Draft rookie profile fixture; no NFL production used.
2024,bo_nix_2024,Bo Nix,QB,Oregon,2024-04-27,manual_predraft_fixture,89,65,89,85,50,65,50,72,36,76,Post NFL Draft rookie profile fixture; no NFL production used.
2024,michael_penix_jr_2024,Michael Penix Jr.,QB,Washington,2024-04-27,manual_predraft_fixture,90,58,86,84,50,39,50,70,34,74,Post NFL Draft rookie profile fixture; no NFL production used.
2024,blake_corum_2024,Blake Corum,RB,Michigan,2024-04-27,manual_predraft_fixture,63,66,86,78,50,50,50,74,79,66,Post NFL Draft rookie profile fixture; no NFL production used.
2024,jalynn_polk_2024,Ja'Lynn Polk,WR,Washington,2024-04-27,manual_predraft_fixture,80,75,78,76,75,50,50,76,82,68,Post NFL Draft rookie profile fixture; no NFL production used.
2024,troy_franklin_2024,Troy Franklin,WR,Oregon,2024-04-27,manual_predraft_fixture,52,77,85,85,82,50,50,88,82,62,Post NFL Draft rookie profile fixture; no NFL production used.
